"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"TOTAL";"T";"AT32";"A";"2013";4414;NA
"TOTAL";"T";"AT32";"A";"2012";4221;NA
"TOTAL";"T";"AT32";"A";"2011";4281;NA
"TOTAL";"T";"AT32";"A";"2010";4162;NA
"TOTAL";"T";"AT32";"A";"2009";4174;NA
"TOTAL";"T";"AT32";"A";"2008";3930;NA
"TOTAL";"T";"AT32";"A";"2007";4025;NA
"TOTAL";"T";"AT32";"A";"2006";4047;NA
"TOTAL";"T";"AT32";"A";"2005";4155;NA
"TOTAL";"T";"AT32";"A";"2004";4008;NA
"TOTAL";"T";"AT32";"A";"2003";4278;NA
"TOTAL";"T";"AT32";"A";"2002";4182;NA
"TOTAL";"T";"AT32";"A";"2001";4109;NA
"TOTAL";"T";"AT32";"A";"2000";4176;NA
"TOTAL";"T";"AT32";"A";"1999";4114;NA
"TOTAL";"T";"AT32";"A";"1998";4087;NA
"TOTAL";"T";"AT32";"A";"1997";4123;NA
"TOTAL";"T";"AT32";"A";"1996";4054;NA
"TOTAL";"T";"AT32";"A";"1995";NA;"na"
"TOTAL";"T";"AT32";"A";"1994";4033;NA
"TOTAL";"T";"AT32";"A";"1993";4160;NA
"TOTAL";"T";"AT32";"A";"1992";3956;NA
"TOTAL";"T";"AT32";"A";"1991";4025;NA
"TOTAL";"T";"AT32";"A";"1990";4066;NA
"TOTAL";"T";"AT33";"A";"2013";5643;NA
"TOTAL";"T";"AT33";"A";"2012";5606;NA
"TOTAL";"T";"AT33";"A";"2011";5328;NA
"TOTAL";"T";"AT33";"A";"2010";5449;NA
"TOTAL";"T";"AT33";"A";"2009";5375;NA
"TOTAL";"T";"AT33";"A";"2008";5191;NA
"TOTAL";"T";"AT33";"A";"2007";5157;NA
"TOTAL";"T";"AT33";"A";"2006";4993;NA
"TOTAL";"T";"AT33";"A";"2005";5153;NA
"TOTAL";"T";"AT33";"A";"2004";5051;NA
"TOTAL";"T";"AT33";"A";"2003";5113;NA
"TOTAL";"T";"AT33";"A";"2002";5000;NA
"TOTAL";"T";"AT33";"A";"2001";5071;NA
"TOTAL";"T";"AT33";"A";"2000";5066;NA
"TOTAL";"T";"AT33";"A";"1999";5065;NA
"TOTAL";"T";"AT33";"A";"1998";5110;NA
"TOTAL";"T";"AT33";"A";"1997";5277;NA
"TOTAL";"T";"AT33";"A";"1996";5195;NA
"TOTAL";"T";"AT33";"A";"1995";NA;"na"
"TOTAL";"T";"AT33";"A";"1994";5153;NA
"TOTAL";"T";"AT33";"A";"1993";5214;NA
"TOTAL";"T";"AT33";"A";"1992";5275;NA
"TOTAL";"T";"AT33";"A";"1991";5089;NA
"TOTAL";"T";"AT33";"A";"1990";5220;NA
"TOTAL";"T";"BE22";"A";"2013";7164;NA
"TOTAL";"T";"BE22";"A";"2012";7210;NA
"TOTAL";"T";"BE22";"A";"2011";6840;NA
"TOTAL";"T";"BE22";"A";"2010";6742;NA
"TOTAL";"T";"BE22";"A";"2009";6673;NA
"TOTAL";"T";"BE22";"A";"2008";6597;NA
"TOTAL";"T";"BE22";"A";"2007";6287;NA
"TOTAL";"T";"BE22";"A";"2006";6245;NA
"TOTAL";"T";"BE22";"A";"2005";6362;NA
"TOTAL";"T";"BE22";"A";"2004";6194;NA
"TOTAL";"T";"BE22";"A";"2003";6653;NA
"TOTAL";"T";"BE22";"A";"2002";6355;NA
"TOTAL";"T";"BE22";"A";"2001";6086;NA
"TOTAL";"T";"BE22";"A";"2000";6158;NA
"TOTAL";"T";"BE22";"A";"1999";5993;NA
"TOTAL";"T";"BE22";"A";"1998";5924;NA
"TOTAL";"T";"BE22";"A";"1997";5689;NA
"TOTAL";"T";"BE22";"A";"1996";5644;NA
"TOTAL";"T";"BE22";"A";"1995";5824;NA
"TOTAL";"T";"BE22";"A";"1994";5265;NA
"TOTAL";"T";"BE22";"A";"1993";5345;NA
"TOTAL";"T";"BE22";"A";"1992";5309;NA
"TOTAL";"T";"BE22";"A";"1991";5174;NA
"TOTAL";"T";"BE22";"A";"1990";5057;NA
"TOTAL";"T";"ES13";"A";"2013";5603;NA
"TOTAL";"T";"ES13";"A";"2012";5812;NA
"TOTAL";"T";"ES13";"A";"2011";5606;NA
"TOTAL";"T";"ES13";"A";"2010";5466;NA
"TOTAL";"T";"ES13";"A";"2009";5513;NA
"TOTAL";"T";"ES13";"A";"2008";5522;NA
"TOTAL";"T";"ES13";"A";"2007";5615;NA
"TOTAL";"T";"ES13";"A";"2006";5449;NA
"TOTAL";"T";"ES13";"A";"2005";5370;NA
"TOTAL";"T";"ES13";"A";"2004";5214;NA
"TOTAL";"T";"ES13";"A";"2003";5399;NA
"TOTAL";"T";"ES13";"A";"2002";5278;NA
"TOTAL";"T";"ES13";"A";"2001";5077;NA
"TOTAL";"T";"ES13";"A";"2000";5335;NA
"TOTAL";"T";"ES13";"A";"1999";5385;NA
"TOTAL";"T";"ES13";"A";"1998";5167;NA
"TOTAL";"T";"ES13";"A";"1997";5086;NA
"TOTAL";"T";"ES13";"A";"1996";5189;NA
"TOTAL";"T";"ES13";"A";"1995";5031;NA
"TOTAL";"T";"ES13";"A";"1994";4862;NA
"TOTAL";"T";"ES13";"A";"1993";4929;NA
"TOTAL";"T";"ES13";"A";"1992";4817;NA
"TOTAL";"T";"ES13";"A";"1991";4740;NA
"TOTAL";"T";"ES13";"A";"1990";4725;NA
"TOTAL";"T";"ITH1";"A";"2013";4050;NA
"TOTAL";"T";"ITH1";"A";"2012";4178;NA
"TOTAL";"T";"ITH1";"A";"2011";3898;NA
"TOTAL";"T";"ITH1";"A";"2010";3873;NA
"TOTAL";"T";"ITH1";"A";"2009";3799;NA
"TOTAL";"T";"ITH1";"A";"2008";3863;NA
"TOTAL";"T";"ITH1";"A";"2007";3705;NA
"TOTAL";"T";"ITH1";"A";"2006";3707;NA
"TOTAL";"T";"ITH1";"A";"2005";3799;NA
"TOTAL";"T";"ITH1";"A";"2004";3761;NA
"TOTAL";"T";"ITH1";"A";"2003";3939;NA
"TOTAL";"T";"ITH1";"A";"2002";3657;NA
"TOTAL";"T";"ITH1";"A";"2001";3604;NA
"TOTAL";"T";"ITH1";"A";"2000";3662;NA
"TOTAL";"T";"ITH1";"A";"1999";3712;NA
"TOTAL";"T";"ITH1";"A";"1998";3730;NA
"TOTAL";"T";"ITH1";"A";"1997";3534;NA
"TOTAL";"T";"ITH1";"A";"1996";3622;NA
"TOTAL";"T";"ITH1";"A";"1995";3461;NA
"TOTAL";"T";"ITH1";"A";"1994";3572;NA
"TOTAL";"T";"ITH1";"A";"1993";3558;NA
"TOTAL";"T";"ITH1";"A";"1992";3511;NA
"TOTAL";"T";"ITH1";"A";"1991";3487;NA
"TOTAL";"T";"ITH1";"A";"1990";3492;NA
"TOTAL";"T";"ITH2";"A";"2013";4842;NA
"TOTAL";"T";"ITH2";"A";"2012";4666;NA
"TOTAL";"T";"ITH2";"A";"2011";4590;NA
"TOTAL";"T";"ITH2";"A";"2010";4751;NA
"TOTAL";"T";"ITH2";"A";"2009";4622;NA
"TOTAL";"T";"ITH2";"A";"2008";4675;NA
"TOTAL";"T";"ITH2";"A";"2007";4595;NA
"TOTAL";"T";"ITH2";"A";"2006";4565;NA
"TOTAL";"T";"ITH2";"A";"2005";4462;NA
"TOTAL";"T";"ITH2";"A";"2004";4478;NA
"TOTAL";"T";"ITH2";"A";"2003";4640;NA
"TOTAL";"T";"ITH2";"A";"2002";4295;NA
"TOTAL";"T";"ITH2";"A";"2001";4317;NA
"TOTAL";"T";"ITH2";"A";"2000";4537;NA
"TOTAL";"T";"ITH2";"A";"1999";4470;NA
"TOTAL";"T";"ITH2";"A";"1998";4698;NA
"TOTAL";"T";"ITH2";"A";"1997";4532;NA
"TOTAL";"T";"ITH2";"A";"1996";4431;NA
"TOTAL";"T";"ITH2";"A";"1995";4582;NA
"TOTAL";"T";"ITH2";"A";"1994";4532;NA
"TOTAL";"T";"ITH2";"A";"1993";4425;NA
"TOTAL";"T";"ITH2";"A";"1992";4475;NA
"TOTAL";"T";"ITH2";"A";"1991";4660;NA
"TOTAL";"T";"ITH2";"A";"1990";4441;NA
"TOTAL";"T";"MT00";"A";"2013";3236;NA
"TOTAL";"T";"MT00";"A";"2012";3418;NA
"TOTAL";"T";"MT00";"A";"2011";3267;NA
"TOTAL";"T";"MT00";"A";"2010";3010;NA
"TOTAL";"T";"MT00";"A";"2009";3221;NA
"TOTAL";"T";"MT00";"A";"2008";3243;NA
"TOTAL";"T";"MT00";"A";"2007";3111;NA
"TOTAL";"T";"MT00";"A";"2006";3216;NA
"TOTAL";"T";"MT00";"A";"2005";3132;NA
"TOTAL";"T";"MT00";"A";"2004";3006;NA
"TOTAL";"T";"MT00";"A";"2003";3146;NA
"TOTAL";"T";"MT00";"A";"2002";3006;NA
"TOTAL";"T";"MT00";"A";"2001";2904;NA
"TOTAL";"T";"MT00";"A";"2000";2941;NA
"TOTAL";"T";"MT00";"A";"1999";3079;NA
"TOTAL";"T";"MT00";"A";"1998";3018;NA
"TOTAL";"T";"MT00";"A";"1997";2865;NA
"TOTAL";"T";"MT00";"A";"1996";2759;NA
"TOTAL";"T";"MT00";"A";"1995";2708;NA
"TOTAL";"T";"MT00";"A";"1994";2698;NA
"TOTAL";"T";"MT00";"A";"1993";2692;NA
"TOTAL";"T";"MT00";"A";"1992";2900;NA
"TOTAL";"T";"MT00";"A";"1991";2875;NA
"TOTAL";"T";"MT00";"A";"1990";2745;NA
"TOTAL";"T";"NL12";"A";"2013";5937;NA
"TOTAL";"T";"NL12";"A";"2012";5882;NA
"TOTAL";"T";"NL12";"A";"2011";5606;NA
"TOTAL";"T";"NL12";"A";"2010";5588;NA
"TOTAL";"T";"NL12";"A";"2009";5624;NA
"TOTAL";"T";"NL12";"A";"2008";5574;NA
"TOTAL";"T";"NL12";"A";"2007";5448;NA
"TOTAL";"T";"NL12";"A";"2006";5923;NA
"TOTAL";"T";"NL12";"A";"2005";5606;NA
"TOTAL";"T";"NL12";"A";"2004";5638;NA
"TOTAL";"T";"NL12";"A";"2003";5793;NA
"TOTAL";"T";"NL12";"A";"2002";5904;NA
"TOTAL";"T";"NL12";"A";"2001";5892;NA
"TOTAL";"T";"NL12";"A";"2000";NA;"na"
"TOTAL";"T";"NL12";"A";"1999";NA;"na"
"TOTAL";"T";"NL12";"A";"1998";NA;"na"
"TOTAL";"T";"NL12";"A";"1997";NA;"na"
"TOTAL";"T";"NL12";"A";"1996";NA;"na"
"TOTAL";"T";"NL12";"A";"1995";NA;"na"
"TOTAL";"T";"NL12";"A";"1994";NA;"na"
"TOTAL";"T";"NL12";"A";"1993";NA;"na"
"TOTAL";"T";"NL12";"A";"1992";NA;"na"
"TOTAL";"T";"NL12";"A";"1991";NA;"na"
"TOTAL";"T";"NL12";"A";"1990";NA;"na"
"TOTAL";"T";"NL13";"A";"2013";4789;NA
"TOTAL";"T";"NL13";"A";"2012";4840;NA
"TOTAL";"T";"NL13";"A";"2011";4667;NA
"TOTAL";"T";"NL13";"A";"2010";4616;NA
"TOTAL";"T";"NL13";"A";"2009";4524;NA
"TOTAL";"T";"NL13";"A";"2008";4513;NA
"TOTAL";"T";"NL13";"A";"2007";4392;NA
"TOTAL";"T";"NL13";"A";"2006";4346;NA
"TOTAL";"T";"NL13";"A";"2005";4349;NA
"TOTAL";"T";"NL13";"A";"2004";4407;NA
"TOTAL";"T";"NL13";"A";"2003";4495;NA
"TOTAL";"T";"NL13";"A";"2002";4633;NA
"TOTAL";"T";"NL13";"A";"2001";4403;NA
"TOTAL";"T";"NL13";"A";"2000";NA;"na"
"TOTAL";"T";"NL13";"A";"1999";NA;"na"
"TOTAL";"T";"NL13";"A";"1998";NA;"na"
"TOTAL";"T";"NL13";"A";"1997";NA;"na"
"TOTAL";"T";"NL13";"A";"1996";NA;"na"
"TOTAL";"T";"NL13";"A";"1995";NA;"na"
"TOTAL";"T";"NL13";"A";"1994";NA;"na"
"TOTAL";"T";"NL13";"A";"1993";NA;"na"
"TOTAL";"T";"NL13";"A";"1992";NA;"na"
"TOTAL";"T";"NL13";"A";"1991";NA;"na"
"TOTAL";"T";"NL13";"A";"1990";NA;"na"
"TOTAL";"T";"NL34";"A";"2013";3827;NA
"TOTAL";"T";"NL34";"A";"2012";3753;NA
"TOTAL";"T";"NL34";"A";"2011";3670;NA
"TOTAL";"T";"NL34";"A";"2010";3750;NA
"TOTAL";"T";"NL34";"A";"2009";3501;NA
"TOTAL";"T";"NL34";"A";"2008";3655;NA
"TOTAL";"T";"NL34";"A";"2007";3545;NA
"TOTAL";"T";"NL34";"A";"2006";3607;NA
"TOTAL";"T";"NL34";"A";"2005";3695;NA
"TOTAL";"T";"NL34";"A";"2004";3655;NA
"TOTAL";"T";"NL34";"A";"2003";3659;NA
"TOTAL";"T";"NL34";"A";"2002";3902;NA
"TOTAL";"T";"NL34";"A";"2001";3787;NA
"TOTAL";"T";"NL34";"A";"2000";NA;"na"
"TOTAL";"T";"NL34";"A";"1999";NA;"na"
"TOTAL";"T";"NL34";"A";"1998";NA;"na"
"TOTAL";"T";"NL34";"A";"1997";NA;"na"
"TOTAL";"T";"NL34";"A";"1996";NA;"na"
"TOTAL";"T";"NL34";"A";"1995";NA;"na"
"TOTAL";"T";"NL34";"A";"1994";NA;"na"
"TOTAL";"T";"NL34";"A";"1993";NA;"na"
"TOTAL";"T";"NL34";"A";"1992";NA;"na"
"TOTAL";"T";"NL34";"A";"1991";NA;"na"
"TOTAL";"T";"NL34";"A";"1990";NA;"na"
"TOTAL";"T";"UKC1";"A";"2013";11953;NA
"TOTAL";"T";"UKC1";"A";"2012";11745;NA
"TOTAL";"T";"UKC1";"A";"2011";11535;NA
"TOTAL";"T";"UKC1";"A";"2010";11323;NA
"TOTAL";"T";"UKC1";"A";"2009";11740;NA
"TOTAL";"T";"UKC1";"A";"2008";12151;NA
"TOTAL";"T";"UKC1";"A";"2007";11887;NA
"TOTAL";"T";"UKC1";"A";"2006";12024;NA
"TOTAL";"T";"UKC1";"A";"2005";12318;NA
"TOTAL";"T";"UKC1";"A";"2004";12316;NA
"TOTAL";"T";"UKC1";"A";"2003";12630;NA
"TOTAL";"T";"UKC1";"A";"2002";12467;NA
"TOTAL";"T";"UKC1";"A";"2001";12516;NA
"TOTAL";"T";"UKC1";"A";"2000";12305;NA
"TOTAL";"T";"UKC1";"A";"1999";12762;NA
"TOTAL";"T";"UKC1";"A";"1998";NA;"na"
"TOTAL";"T";"UKC1";"A";"1997";NA;"na"
"TOTAL";"T";"UKC1";"A";"1996";NA;"na"
"TOTAL";"T";"UKC1";"A";"1995";NA;"na"
"TOTAL";"T";"UKC1";"A";"1994";12959;NA
"TOTAL";"T";"UKC1";"A";"1993";13701;NA
"TOTAL";"T";"UKC1";"A";"1992";NA;"na"
"TOTAL";"T";"UKC1";"A";"1991";NA;"na"
"TOTAL";"T";"UKC1";"A";"1990";NA;"na"
"TOTAL";"T";"UKE2";"A";"2013";8021;NA
"TOTAL";"T";"UKE2";"A";"2012";8005;NA
"TOTAL";"T";"UKE2";"A";"2011";7843;NA
"TOTAL";"T";"UKE2";"A";"2010";7771;NA
"TOTAL";"T";"UKE2";"A";"2009";7610;NA
"TOTAL";"T";"UKE2";"A";"2008";7837;NA
"TOTAL";"T";"UKE2";"A";"2007";7865;NA
"TOTAL";"T";"UKE2";"A";"2006";7800;NA
"TOTAL";"T";"UKE2";"A";"2005";7664;NA
"TOTAL";"T";"UKE2";"A";"2004";7894;NA
"TOTAL";"T";"UKE2";"A";"2003";8187;NA
"TOTAL";"T";"UKE2";"A";"2002";8015;NA
"TOTAL";"T";"UKE2";"A";"2001";7971;NA
"TOTAL";"T";"UKE2";"A";"2000";8161;NA
"TOTAL";"T";"UKE2";"A";"1999";8190;NA
"TOTAL";"T";"UKE2";"A";"1998";NA;"na"
"TOTAL";"T";"UKE2";"A";"1997";NA;"na"
"TOTAL";"T";"UKE2";"A";"1996";NA;"na"
"TOTAL";"T";"UKE2";"A";"1995";NA;"na"
"TOTAL";"T";"UKE2";"A";"1994";8348;NA
"TOTAL";"T";"UKE2";"A";"1993";8869;NA
"TOTAL";"T";"UKE2";"A";"1992";NA;"na"
"TOTAL";"T";"UKE2";"A";"1991";NA;"na"
"TOTAL";"T";"UKE2";"A";"1990";NA;"na"
