"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"AT32";"A";"2014";2,8;NA
"AT32";"A";"2013";1,9;NA
"AT32";"A";"2012";2,6;NA
"AT32";"A";"2011";1,8;NA
"AT32";"A";"2010";4,9;NA
"AT32";"A";"2009";2,5;NA
"AT32";"A";"2008";2,6;NA
"AT32";"A";"2007";2,4;NA
"AT32";"A";"2006";2,2;NA
"AT32";"A";"2005";4,5;NA
"AT32";"A";"2004";4,8;NA
"AT32";"A";"2003";4,4;NA
"AT32";"A";"2002";4,4;NA
"AT32";"A";"2001";4;NA
"AT32";"A";"2000";3,5;NA
"AT32";"A";"1999";2,7;NA
"AT32";"A";"1998";4,6;NA
"AT32";"A";"1997";5,4;NA
"AT32";"A";"1996";4,7;NA
"AT32";"A";"1995";NA;"na"
"AT32";"A";"1994";6;NA
"AT32";"A";"1993";5,5;NA
"AT32";"A";"1992";5;NA
"AT32";"A";"1991";5,7;NA
"AT32";"A";"1990";8,1;NA
"AT33";"A";"2014";2;NA
"AT33";"A";"2013";2,7;NA
"AT33";"A";"2012";2;NA
"AT33";"A";"2011";3,3;NA
"AT33";"A";"2010";2,5;NA
"AT33";"A";"2009";2,7;NA
"AT33";"A";"2008";1,6;NA
"AT33";"A";"2007";2,3;NA
"AT33";"A";"2006";3,3;NA
"AT33";"A";"2005";3,9;NA
"AT33";"A";"2004";4;NA
"AT33";"A";"2003";3,1;NA
"AT33";"A";"2002";3,9;NA
"AT33";"A";"2001";4,9;NA
"AT33";"A";"2000";5,3;NA
"AT33";"A";"1999";3,9;NA
"AT33";"A";"1998";6,2;NA
"AT33";"A";"1997";3,4;NA
"AT33";"A";"1996";6;NA
"AT33";"A";"1995";NA;"na"
"AT33";"A";"1994";7,3;NA
"AT33";"A";"1993";7,3;NA
"AT33";"A";"1992";7,6;NA
"AT33";"A";"1991";8;NA
"AT33";"A";"1990";9,4;NA
"BE22";"A";"2014";2,7;NA
"BE22";"A";"2013";3,5;NA
"BE22";"A";"2012";3,5;NA
"BE22";"A";"2011";3,9;NA
"BE22";"A";"2010";2,8;NA
"BE22";"A";"2009";3;NA
"BE22";"A";"2008";3,5;NA
"BE22";"A";"2007";3;NA
"BE22";"A";"2006";3,4;NA
"BE22";"A";"2005";3,8;NA
"BE22";"A";"2004";3;NA
"BE22";"A";"2003";4,4;NA
"BE22";"A";"2002";5;NA
"BE22";"A";"2001";3,2;NA
"BE22";"A";"2000";4,2;NA
"BE22";"A";"1999";4,9;NA
"BE22";"A";"1998";4,8;NA
"BE22";"A";"1997";6,1;NA
"BE22";"A";"1996";5;NA
"BE22";"A";"1995";6,7;NA
"BE22";"A";"1994";6,2;NA
"BE22";"A";"1993";6;NA
"BE22";"A";"1992";5,7;NA
"BE22";"A";"1991";7,3;NA
"BE22";"A";"1990";7;NA
"ES13";"A";"2014";2,2;NA
"ES13";"A";"2013";3,3;NA
"ES13";"A";"2012";2,4;NA
"ES13";"A";"2011";1,9;NA
"ES13";"A";"2010";3,6;NA
"ES13";"A";"2009";2,1;NA
"ES13";"A";"2008";3,2;NA
"ES13";"A";"2007";3,5;NA
"ES13";"A";"2006";2,3;NA
"ES13";"A";"2005";3,2;NA
"ES13";"A";"2004";3,6;NA
"ES13";"A";"2003";3,1;NA
"ES13";"A";"2002";3,5;NA
"ES13";"A";"2001";1,9;NA
"ES13";"A";"2000";2,1;NA
"ES13";"A";"1999";2;NA
"ES13";"A";"1998";3,1;NA
"ES13";"A";"1997";3,6;NA
"ES13";"A";"1996";4,9;NA
"ES13";"A";"1995";4;NA
"ES13";"A";"1994";5,5;NA
"ES13";"A";"1993";7,5;NA
"ES13";"A";"1992";6,3;NA
"ES13";"A";"1991";6,9;NA
"ES13";"A";"1990";6,8;NA
"ITH1";"A";"2014";3,1;NA
"ITH1";"A";"2013";2,3;NA
"ITH1";"A";"2012";2,4;NA
"ITH1";"A";"2011";1,3;NA
"ITH1";"A";"2010";3,3;NA
"ITH1";"A";"2009";3,1;NA
"ITH1";"A";"2008";2,9;NA
"ITH1";"A";"2007";4,2;NA
"ITH1";"A";"2006";4,3;NA
"ITH1";"A";"2005";3,4;NA
"ITH1";"A";"2004";3,5;NA
"ITH1";"A";"2003";3,5;NA
"ITH1";"A";"2002";4;NA
"ITH1";"A";"2001";2,6;NA
"ITH1";"A";"2000";2,6;NA
"ITH1";"A";"1999";5;NA
"ITH1";"A";"1998";4,2;NA
"ITH1";"A";"1997";5,6;NA
"ITH1";"A";"1996";5,3;NA
"ITH1";"A";"1995";4,6;NA
"ITH1";"A";"1994";4,8;NA
"ITH1";"A";"1993";4,7;NA
"ITH1";"A";"1992";4,8;NA
"ITH1";"A";"1991";5,5;NA
"ITH1";"A";"1990";7,1;NA
"ITH2";"A";"2014";2,3;NA
"ITH2";"A";"2013";2,7;NA
"ITH2";"A";"2012";4,1;NA
"ITH2";"A";"2011";2,8;NA
"ITH2";"A";"2010";2;NA
"ITH2";"A";"2009";2,1;NA
"ITH2";"A";"2008";1,8;NA
"ITH2";"A";"2007";1,4;NA
"ITH2";"A";"2006";2,9;NA
"ITH2";"A";"2005";2,3;NA
"ITH2";"A";"2004";3,5;NA
"ITH2";"A";"2003";3,8;NA
"ITH2";"A";"2002";3,7;NA
"ITH2";"A";"2001";2;NA
"ITH2";"A";"2000";3,5;NA
"ITH2";"A";"1999";4;NA
"ITH2";"A";"1998";3,1;NA
"ITH2";"A";"1997";2,8;NA
"ITH2";"A";"1996";3,5;NA
"ITH2";"A";"1995";5,1;NA
"ITH2";"A";"1994";5;NA
"ITH2";"A";"1993";3,9;NA
"ITH2";"A";"1992";6,2;NA
"ITH2";"A";"1991";4,5;NA
"ITH2";"A";"1990";5,4;NA
"MT";"A";"2014";5;NA
"MT";"A";"2013";6,7;NA
"MT";"A";"2012";5,3;NA
"MT";"A";"2011";6,5;NA
"MT";"A";"2010";5,6;NA
"MT";"A";"2009";5,5;NA
"MT";"A";"2008";8,5;NA
"MT";"A";"2007";6,6;NA
"MT";"A";"2006";3,7;NA
"MT";"A";"2005";5,4;NA
"MT";"A";"2004";5,7;NA
"MT";"A";"2003";5,7;NA
"MT";"A";"2002";5,4;NA
"MT";"A";"2001";3,8;NA
"MT";"A";"2000";5,2;NA
"MT";"A";"1999";7,5;NA
"MT";"A";"1998";7,3;NA
"MT";"A";"1997";6,8;NA
"MT";"A";"1996";10,9;NA
"MT";"A";"1995";8,9;NA
"MT";"A";"1994";9,1;NA
"MT";"A";"1993";8,2;NA
"MT";"A";"1992";10,8;NA
"MT";"A";"1991";9,6;NA
"MT";"A";"1990";9,1;NA
"NL12";"A";"2014";4,3;NA
"NL12";"A";"2013";6,1;NA
"NL12";"A";"2012";4,9;NA
"NL12";"A";"2011";5,1;NA
"NL12";"A";"2010";4,4;NA
"NL12";"A";"2009";4,5;NA
"NL12";"A";"2008";4,7;NA
"NL12";"A";"2007";4,1;NA
"NL12";"A";"2006";4,8;NA
"NL12";"A";"2005";5;NA
"NL12";"A";"2004";5,4;NA
"NL12";"A";"2003";6,4;NA
"NL12";"A";"2002";6,1;NA
"NL12";"A";"2001";5,6;NA
"NL12";"A";"2000";NA;"na"
"NL12";"A";"1999";NA;"na"
"NL12";"A";"1998";NA;"na"
"NL12";"A";"1997";NA;"na"
"NL12";"A";"1996";NA;"na"
"NL12";"A";"1995";NA;"na"
"NL12";"A";"1994";NA;"na"
"NL12";"A";"1993";NA;"na"
"NL12";"A";"1992";NA;"na"
"NL12";"A";"1991";NA;"na"
"NL12";"A";"1990";NA;"na"
"NL13";"A";"2014";3;NA
"NL13";"A";"2013";3,1;NA
"NL13";"A";"2012";3,2;NA
"NL13";"A";"2011";3,9;NA
"NL13";"A";"2010";4,2;NA
"NL13";"A";"2009";4,2;NA
"NL13";"A";"2008";2,2;NA
"NL13";"A";"2007";3,1;NA
"NL13";"A";"2006";2,6;NA
"NL13";"A";"2005";4,7;NA
"NL13";"A";"2004";5,1;NA
"NL13";"A";"2003";5,3;NA
"NL13";"A";"2002";6,1;NA
"NL13";"A";"2001";5,3;NA
"NL13";"A";"2000";NA;"na"
"NL13";"A";"1999";NA;"na"
"NL13";"A";"1998";NA;"na"
"NL13";"A";"1997";NA;"na"
"NL13";"A";"1996";NA;"na"
"NL13";"A";"1995";NA;"na"
"NL13";"A";"1994";NA;"na"
"NL13";"A";"1993";NA;"na"
"NL13";"A";"1992";NA;"na"
"NL13";"A";"1991";NA;"na"
"NL13";"A";"1990";NA;"na"
"NL34";"A";"2014";1,9;NA
"NL34";"A";"2013";3,4;NA
"NL34";"A";"2012";3;NA
"NL34";"A";"2011";2,7;NA
"NL34";"A";"2010";3,2;NA
"NL34";"A";"2009";2,1;NA
"NL34";"A";"2008";2,3;NA
"NL34";"A";"2007";2,4;NA
"NL34";"A";"2006";2,1;NA
"NL34";"A";"2005";4,1;NA
"NL34";"A";"2004";5,1;NA
"NL34";"A";"2003";4,3;NA
"NL34";"A";"2002";4;NA
"NL34";"A";"2001";5,3;NA
"NL34";"A";"2000";NA;"na"
"NL34";"A";"1999";NA;"na"
"NL34";"A";"1998";NA;"na"
"NL34";"A";"1997";NA;"na"
"NL34";"A";"1996";NA;"na"
"NL34";"A";"1995";NA;"na"
"NL34";"A";"1994";NA;"na"
"NL34";"A";"1993";NA;"na"
"NL34";"A";"1992";NA;"na"
"NL34";"A";"1991";NA;"na"
"NL34";"A";"1990";NA;"na"
"UKC1";"A";"2014";4,6;NA
"UKC1";"A";"2013";NA;"na"
"UKC1";"A";"2012";3,3;NA
"UKC1";"A";"2011";3,7;NA
"UKC1";"A";"2010";4,2;NA
"UKC1";"A";"2009";3,5;NA
"UKC1";"A";"2008";4,6;NA
"UKC1";"A";"2007";4,6;NA
"UKC1";"A";"2006";6,5;NA
"UKC1";"A";"2005";5,2;NA
"UKC1";"A";"2004";5,1;NA
"UKC1";"A";"2003";4,6;NA
"UKC1";"A";"2002";4,8;NA
"UKC1";"A";"2001";6,7;NA
"UKC1";"A";"2000";6,4;NA
"UKC1";"A";"1999";NA;"na"
"UKC1";"A";"1998";NA;"na"
"UKC1";"A";"1997";NA;"na"
"UKC1";"A";"1996";NA;"na"
"UKC1";"A";"1995";NA;"na"
"UKC1";"A";"1994";NA;"na"
"UKC1";"A";"1993";NA;"na"
"UKC1";"A";"1992";NA;"na"
"UKC1";"A";"1991";NA;"na"
"UKC1";"A";"1990";NA;"na"
"UKE2";"A";"2014";3,1;NA
"UKE2";"A";"2013";NA;"na"
"UKE2";"A";"2012";3;NA
"UKE2";"A";"2011";3;NA
"UKE2";"A";"2010";4,1;NA
"UKE2";"A";"2009";4,4;NA
"UKE2";"A";"2008";3,1;NA
"UKE2";"A";"2007";4,1;NA
"UKE2";"A";"2006";4;NA
"UKE2";"A";"2005";5,1;NA
"UKE2";"A";"2004";3,9;NA
"UKE2";"A";"2003";2,4;NA
"UKE2";"A";"2002";2,9;NA
"UKE2";"A";"2001";2,8;NA
"UKE2";"A";"2000";6,1;NA
"UKE2";"A";"1999";NA;"na"
"UKE2";"A";"1998";NA;"na"
"UKE2";"A";"1997";NA;"na"
"UKE2";"A";"1996";NA;"na"
"UKE2";"A";"1995";NA;"na"
"UKE2";"A";"1994";NA;"na"
"UKE2";"A";"1993";NA;"na"
"UKE2";"A";"1992";NA;"na"
"UKE2";"A";"1991";NA;"na"
"UKE2";"A";"1990";NA;"na"
