"UNIT";"INDIC_IS";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"PC_IND";"I_IUGOV12";"AT32";"A";"2015";NA;"na"
"PC_IND";"I_IUGOV12";"AT32";"A";"2014";59;NA
"PC_IND";"I_IUGOV12";"AT32";"A";"2013";57;NA
"PC_IND";"I_IUGOV12";"AT32";"A";"2012";53;NA
"PC_IND";"I_IUGOV12";"AT32";"A";"2011";49;NA
"PC_IND";"I_IUGOV12";"AT32";"A";"2010";NA;"na"
"PC_IND";"I_IUGOV12";"AT32";"A";"2009";NA;"na"
"PC_IND";"I_IUGOV12";"AT32";"A";"2008";NA;"na"
"PC_IND";"I_IUGOV12";"AT33";"A";"2015";NA;"na"
"PC_IND";"I_IUGOV12";"AT33";"A";"2014";59;NA
"PC_IND";"I_IUGOV12";"AT33";"A";"2013";49;NA
"PC_IND";"I_IUGOV12";"AT33";"A";"2012";50;NA
"PC_IND";"I_IUGOV12";"AT33";"A";"2011";52;NA
"PC_IND";"I_IUGOV12";"AT33";"A";"2010";NA;"na"
"PC_IND";"I_IUGOV12";"AT33";"A";"2009";NA;"na"
"PC_IND";"I_IUGOV12";"AT33";"A";"2008";NA;"na"
"PC_IND";"I_IUGOV12";"AT34";"A";"2015";NA;"na"
"PC_IND";"I_IUGOV12";"AT34";"A";"2014";58;NA
"PC_IND";"I_IUGOV12";"AT34";"A";"2013";53;NA
"PC_IND";"I_IUGOV12";"AT34";"A";"2012";53;NA
"PC_IND";"I_IUGOV12";"AT34";"A";"2011";50;NA
"PC_IND";"I_IUGOV12";"AT34";"A";"2010";NA;"na"
"PC_IND";"I_IUGOV12";"AT34";"A";"2009";NA;"na"
"PC_IND";"I_IUGOV12";"AT34";"A";"2008";NA;"na"
"PC_IND";"I_IUGOV12";"CH07";"A";"2015";NA;"na"
"PC_IND";"I_IUGOV12";"CH07";"A";"2014";60;NA
"PC_IND";"I_IUGOV12";"CH07";"A";"2013";NA;"na"
"PC_IND";"I_IUGOV12";"CH07";"A";"2012";NA;"na"
"PC_IND";"I_IUGOV12";"CH07";"A";"2011";NA;"na"
"PC_IND";"I_IUGOV12";"CH07";"A";"2010";NA;"na"
"PC_IND";"I_IUGOV12";"CH07";"A";"2009";NA;"na"
"PC_IND";"I_IUGOV12";"CH07";"A";"2008";NA;"na"
"PC_IND";"I_IUGOV12";"DE2";"A";"2015";59;NA
"PC_IND";"I_IUGOV12";"DE2";"A";"2014";51;NA
"PC_IND";"I_IUGOV12";"DE2";"A";"2013";50;NA
"PC_IND";"I_IUGOV12";"DE2";"A";"2012";51;NA
"PC_IND";"I_IUGOV12";"DE2";"A";"2011";51;NA
"PC_IND";"I_IUGOV12";"DE2";"A";"2010";NA;"na"
"PC_IND";"I_IUGOV12";"DE2";"A";"2009";NA;"na"
"PC_IND";"I_IUGOV12";"DE2";"A";"2008";NA;"na"
"PC_IND";"I_IUGOV12";"IT";"A";"2015";24;NA
"PC_IND";"I_IUGOV12";"IT";"A";"2014";23;NA
"PC_IND";"I_IUGOV12";"IT";"A";"2013";21;NA
"PC_IND";"I_IUGOV12";"IT";"A";"2012";19;NA
"PC_IND";"I_IUGOV12";"IT";"A";"2011";22;NA
"PC_IND";"I_IUGOV12";"IT";"A";"2010";23;NA
"PC_IND";"I_IUGOV12";"IT";"A";"2009";21;NA
"PC_IND";"I_IUGOV12";"IT";"A";"2008";20;NA
"PC_IND";"I_IUGOV12";"ITC4";"A";"2015";30;NA
"PC_IND";"I_IUGOV12";"ITC4";"A";"2014";27;NA
"PC_IND";"I_IUGOV12";"ITC4";"A";"2013";25;NA
"PC_IND";"I_IUGOV12";"ITC4";"A";"2012";20;NA
"PC_IND";"I_IUGOV12";"ITC4";"A";"2011";26;NA
"PC_IND";"I_IUGOV12";"ITC4";"A";"2010";NA;"na"
"PC_IND";"I_IUGOV12";"ITC4";"A";"2009";NA;"na"
"PC_IND";"I_IUGOV12";"ITC4";"A";"2008";NA;"na"
"PC_IND";"I_IUGOV12";"ITH";"A";"2015";28;NA
"PC_IND";"I_IUGOV12";"ITH";"A";"2014";25;NA
"PC_IND";"I_IUGOV12";"ITH";"A";"2013";26;NA
"PC_IND";"I_IUGOV12";"ITH";"A";"2012";23;NA
"PC_IND";"I_IUGOV12";"ITH";"A";"2011";26;NA
"PC_IND";"I_IUGOV12";"ITH";"A";"2010";NA;"na"
"PC_IND";"I_IUGOV12";"ITH";"A";"2009";NA;"na"
"PC_IND";"I_IUGOV12";"ITH";"A";"2008";NA;"na"
"PC_IND";"I_IUGOV12";"ITH1";"A";"2015";27;NA
"PC_IND";"I_IUGOV12";"ITH1";"A";"2014";30;NA
"PC_IND";"I_IUGOV12";"ITH1";"A";"2013";28;NA
"PC_IND";"I_IUGOV12";"ITH1";"A";"2012";28;NA
"PC_IND";"I_IUGOV12";"ITH1";"A";"2011";30;NA
"PC_IND";"I_IUGOV12";"ITH1";"A";"2010";NA;"na"
"PC_IND";"I_IUGOV12";"ITH1";"A";"2009";NA;"na"
"PC_IND";"I_IUGOV12";"ITH1";"A";"2008";NA;"na"
"PC_IND";"I_IUGOV12";"ITH2";"A";"2015";32;NA
"PC_IND";"I_IUGOV12";"ITH2";"A";"2014";30;NA
"PC_IND";"I_IUGOV12";"ITH2";"A";"2013";25;NA
"PC_IND";"I_IUGOV12";"ITH2";"A";"2012";24;NA
"PC_IND";"I_IUGOV12";"ITH2";"A";"2011";30;NA
"PC_IND";"I_IUGOV12";"ITH2";"A";"2010";NA;"na"
"PC_IND";"I_IUGOV12";"ITH2";"A";"2009";NA;"na"
"PC_IND";"I_IUGOV12";"ITH2";"A";"2008";NA;"na"
"PC_IND";"I_IUGOV12";"ITH3";"A";"2015";28;NA
"PC_IND";"I_IUGOV12";"ITH3";"A";"2014";25;NA
"PC_IND";"I_IUGOV12";"ITH3";"A";"2013";26;NA
"PC_IND";"I_IUGOV12";"ITH3";"A";"2012";23;NA
"PC_IND";"I_IUGOV12";"ITH3";"A";"2011";26;NA
"PC_IND";"I_IUGOV12";"ITH3";"A";"2010";NA;"na"
"PC_IND";"I_IUGOV12";"ITH3";"A";"2009";NA;"na"
"PC_IND";"I_IUGOV12";"ITH3";"A";"2008";NA;"na"
