"UNIT";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"PPS_HAB";"AT32";"A";"2014";41600;NA
"PPS_HAB";"AT32";"A";"2013";41000;NA
"PPS_HAB";"AT32";"A";"2012";41100;NA
"PPS_HAB";"AT32";"A";"2011";38900;NA
"PPS_HAB";"AT32";"A";"2010";37300;NA
"PPS_HAB";"AT32";"A";"2009";34800;NA
"PPS_HAB";"AT32";"A";"2008";36700;NA
"PPS_HAB";"AT32";"A";"2007";36700;NA
"PPS_HAB";"AT32";"A";"2006";34600;NA
"PPS_HAB";"AT32";"A";"2005";32400;NA
"PPS_HAB";"AT32";"A";"2004";31800;NA
"PPS_HAB";"AT32";"A";"2003";30100;NA
"PPS_HAB";"AT32";"A";"2002";29400;NA
"PPS_HAB";"AT32";"A";"2001";28100;NA
"PPS_HAB";"AT32";"A";"2000";28300;NA
"PPS_HAB";"AT33";"A";"2014";38000;NA
"PPS_HAB";"AT33";"A";"2013";37000;NA
"PPS_HAB";"AT33";"A";"2012";36400;NA
"PPS_HAB";"AT33";"A";"2011";34200;NA
"PPS_HAB";"AT33";"A";"2010";32800;NA
"PPS_HAB";"AT33";"A";"2009";31600;NA
"PPS_HAB";"AT33";"A";"2008";32800;NA
"PPS_HAB";"AT33";"A";"2007";33100;NA
"PPS_HAB";"AT33";"A";"2006";32000;NA
"PPS_HAB";"AT33";"A";"2005";30300;NA
"PPS_HAB";"AT33";"A";"2004";29200;NA
"PPS_HAB";"AT33";"A";"2003";28000;NA
"PPS_HAB";"AT33";"A";"2002";27200;NA
"PPS_HAB";"AT33";"A";"2001";25900;NA
"PPS_HAB";"AT33";"A";"2000";25900;NA
"PPS_HAB";"BE22";"A";"2014";27000;NA
"PPS_HAB";"BE22";"A";"2013";26200;NA
"PPS_HAB";"BE22";"A";"2012";26200;NA
"PPS_HAB";"BE22";"A";"2011";25500;NA
"PPS_HAB";"BE22";"A";"2010";24300;NA
"PPS_HAB";"BE22";"A";"2009";22700;NA
"PPS_HAB";"BE22";"A";"2008";24500;NA
"PPS_HAB";"BE22";"A";"2007";24500;NA
"PPS_HAB";"BE22";"A";"2006";23300;NA
"PPS_HAB";"BE22";"A";"2005";22100;NA
"PPS_HAB";"BE22";"A";"2004";22100;NA
"PPS_HAB";"BE22";"A";"2003";21900;NA
"PPS_HAB";"BE22";"A";"2002";NA;"na"
"PPS_HAB";"BE22";"A";"2001";NA;"na"
"PPS_HAB";"BE22";"A";"2000";NA;"na"
"PPS_HAB";"ES13";"A";"2014";22600;NA
"PPS_HAB";"ES13";"A";"2013";21900;NA
"PPS_HAB";"ES13";"A";"2012";22400;NA
"PPS_HAB";"ES13";"A";"2011";22800;NA
"PPS_HAB";"ES13";"A";"2010";23100;NA
"PPS_HAB";"ES13";"A";"2009";23100;NA
"PPS_HAB";"ES13";"A";"2008";24800;NA
"PPS_HAB";"ES13";"A";"2007";25000;NA
"PPS_HAB";"ES13";"A";"2006";23500;NA
"PPS_HAB";"ES13";"A";"2005";21900;NA
"PPS_HAB";"ES13";"A";"2004";20800;NA
"PPS_HAB";"ES13";"A";"2003";20000;NA
"PPS_HAB";"ES13";"A";"2002";19900;NA
"PPS_HAB";"ES13";"A";"2001";18700;NA
"PPS_HAB";"ES13";"A";"2000";17600;NA
"PPS_HAB";"ITH1";"A";"2014";39700;NA
"PPS_HAB";"ITH1";"A";"2013";40000;NA
"PPS_HAB";"ITH1";"A";"2012";40300;NA
"PPS_HAB";"ITH1";"A";"2011";38200;NA
"PPS_HAB";"ITH1";"A";"2010";37200;NA
"PPS_HAB";"ITH1";"A";"2009";35700;NA
"PPS_HAB";"ITH1";"A";"2008";37200;NA
"PPS_HAB";"ITH1";"A";"2007";36500;NA
"PPS_HAB";"ITH1";"A";"2006";34700;NA
"PPS_HAB";"ITH1";"A";"2005";32800;NA
"PPS_HAB";"ITH1";"A";"2004";32500;NA
"PPS_HAB";"ITH1";"A";"2003";31600;NA
"PPS_HAB";"ITH1";"A";"2002";31400;NA
"PPS_HAB";"ITH1";"A";"2001";32600;NA
"PPS_HAB";"ITH1";"A";"2000";31900;NA
"PPS_HAB";"ITH2";"A";"2014";33700;NA
"PPS_HAB";"ITH2";"A";"2013";33800;NA
"PPS_HAB";"ITH2";"A";"2012";34000;NA
"PPS_HAB";"ITH2";"A";"2011";33500;NA
"PPS_HAB";"ITH2";"A";"2010";32900;NA
"PPS_HAB";"ITH2";"A";"2009";32000;NA
"PPS_HAB";"ITH2";"A";"2008";33700;NA
"PPS_HAB";"ITH2";"A";"2007";33700;NA
"PPS_HAB";"ITH2";"A";"2006";31900;NA
"PPS_HAB";"ITH2";"A";"2005";30700;NA
"PPS_HAB";"ITH2";"A";"2004";30300;NA
"PPS_HAB";"ITH2";"A";"2003";30500;NA
"PPS_HAB";"ITH2";"A";"2002";30500;NA
"PPS_HAB";"ITH2";"A";"2001";31400;NA
"PPS_HAB";"ITH2";"A";"2000";30200;NA
"PPS_HAB";"MT";"A";"2014";23600;NA
"PPS_HAB";"MT";"A";"2013";23000;NA
"PPS_HAB";"MT";"A";"2012";22400;NA
"PPS_HAB";"MT";"A";"2011";21900;NA
"PPS_HAB";"MT";"A";"2010";21800;NA
"PPS_HAB";"MT";"A";"2009";20500;NA
"PPS_HAB";"MT";"A";"2008";20900;NA
"PPS_HAB";"MT";"A";"2007";20200;NA
"PPS_HAB";"MT";"A";"2006";19200;NA
"PPS_HAB";"MT";"A";"2005";18800;NA
"PPS_HAB";"MT";"A";"2004";18000;NA
"PPS_HAB";"MT";"A";"2003";17600;NA
"PPS_HAB";"MT";"A";"2002";17200;NA
"PPS_HAB";"MT";"A";"2001";16300;NA
"PPS_HAB";"MT";"A";"2000";16600;NA
"PPS_HAB";"NL12";"A";"2014";25600;NA
"PPS_HAB";"NL12";"A";"2013";25600;NA
"PPS_HAB";"NL12";"A";"2012";25500;NA
"PPS_HAB";"NL12";"A";"2011";25400;NA
"PPS_HAB";"NL12";"A";"2010";24000;NA
"PPS_HAB";"NL12";"A";"2009";23700;NA
"PPS_HAB";"NL12";"A";"2008";25300;NA
"PPS_HAB";"NL12";"A";"2007";25000;NA
"PPS_HAB";"NL12";"A";"2006";23100;NA
"PPS_HAB";"NL12";"A";"2005";21800;NA
"PPS_HAB";"NL12";"A";"2004";20600;NA
"PPS_HAB";"NL12";"A";"2003";20100;NA
"PPS_HAB";"NL12";"A";"2002";20200;NA
"PPS_HAB";"NL12";"A";"2001";20100;NA
"PPS_HAB";"NL12";"A";"2000";19400;NA
"PPS_HAB";"NL13";"A";"2014";25800;NA
"PPS_HAB";"NL13";"A";"2013";25500;NA
"PPS_HAB";"NL13";"A";"2012";24800;NA
"PPS_HAB";"NL13";"A";"2011";24600;NA
"PPS_HAB";"NL13";"A";"2010";23800;NA
"PPS_HAB";"NL13";"A";"2009";23900;NA
"PPS_HAB";"NL13";"A";"2008";26200;NA
"PPS_HAB";"NL13";"A";"2007";26000;NA
"PPS_HAB";"NL13";"A";"2006";24100;NA
"PPS_HAB";"NL13";"A";"2005";23000;NA
"PPS_HAB";"NL13";"A";"2004";21600;NA
"PPS_HAB";"NL13";"A";"2003";21200;NA
"PPS_HAB";"NL13";"A";"2002";21700;NA
"PPS_HAB";"NL13";"A";"2001";21000;NA
"PPS_HAB";"NL13";"A";"2000";20400;NA
"PPS_HAB";"NL34";"A";"2014";27400;NA
"PPS_HAB";"NL34";"A";"2013";27000;NA
"PPS_HAB";"NL34";"A";"2012";27100;NA
"PPS_HAB";"NL34";"A";"2011";27300;NA
"PPS_HAB";"NL34";"A";"2010";26400;NA
"PPS_HAB";"NL34";"A";"2009";24800;NA
"PPS_HAB";"NL34";"A";"2008";27400;NA
"PPS_HAB";"NL34";"A";"2007";26600;NA
"PPS_HAB";"NL34";"A";"2006";24100;NA
"PPS_HAB";"NL34";"A";"2005";22900;NA
"PPS_HAB";"NL34";"A";"2004";22200;NA
"PPS_HAB";"NL34";"A";"2003";21400;NA
"PPS_HAB";"NL34";"A";"2002";21300;NA
"PPS_HAB";"NL34";"A";"2001";20000;NA
"PPS_HAB";"NL34";"A";"2000";19700;NA
"PPS_HAB";"UKC1";"A";"2014";20500;NA
"PPS_HAB";"UKC1";"A";"2013";19900;NA
"PPS_HAB";"UKC1";"A";"2012";19400;NA
"PPS_HAB";"UKC1";"A";"2011";18900;NA
"PPS_HAB";"UKC1";"A";"2010";19400;NA
"PPS_HAB";"UKC1";"A";"2009";19300;NA
"PPS_HAB";"UKC1";"A";"2008";20500;NA
"PPS_HAB";"UKC1";"A";"2007";21000;NA
"PPS_HAB";"UKC1";"A";"2006";21000;NA
"PPS_HAB";"UKC1";"A";"2005";19700;NA
"PPS_HAB";"UKC1";"A";"2004";19700;NA
"PPS_HAB";"UKC1";"A";"2003";18000;NA
"PPS_HAB";"UKC1";"A";"2002";17000;NA
"PPS_HAB";"UKC1";"A";"2001";16300;NA
"PPS_HAB";"UKC1";"A";"2000";16100;NA
"PPS_HAB";"UKE2";"A";"2014";26800;NA
"PPS_HAB";"UKE2";"A";"2013";26000;NA
"PPS_HAB";"UKE2";"A";"2012";25500;NA
"PPS_HAB";"UKE2";"A";"2011";25000;NA
"PPS_HAB";"UKE2";"A";"2010";24600;NA
"PPS_HAB";"UKE2";"A";"2009";24600;NA
"PPS_HAB";"UKE2";"A";"2008";26800;NA
"PPS_HAB";"UKE2";"A";"2007";28200;NA
"PPS_HAB";"UKE2";"A";"2006";27600;NA
"PPS_HAB";"UKE2";"A";"2005";27000;NA
"PPS_HAB";"UKE2";"A";"2004";26800;NA
"PPS_HAB";"UKE2";"A";"2003";25200;NA
"PPS_HAB";"UKE2";"A";"2002";24400;NA
"PPS_HAB";"UKE2";"A";"2001";22100;NA
"PPS_HAB";"UKE2";"A";"2000";21300;NA
