"INDIC_SB";"NACE_R2";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"V11210";"B";"AT32";"A";"2013";57;NA;NA
"V11210";"B";"AT32";"A";"2012";57;NA;NA
"V11210";"B";"AT32";"A";"2011";65;NA;NA
"V11210";"B";"AT32";"A";"2010";66;NA;NA
"V11210";"B";"AT32";"A";"2009";61;NA;NA
"V11210";"B";"AT32";"A";"2008";60;NA;NA
"V11210";"B";"AT33";"A";"2013";74;NA;NA
"V11210";"B";"AT33";"A";"2012";69;NA;NA
"V11210";"B";"AT33";"A";"2011";66;NA;NA
"V11210";"B";"AT33";"A";"2010";66;NA;NA
"V11210";"B";"AT33";"A";"2009";64;NA;NA
"V11210";"B";"AT33";"A";"2008";64;NA;NA
"V11210";"B";"BE22";"A";"2013";32;NA;NA
"V11210";"B";"BE22";"A";"2012";26;NA;NA
"V11210";"B";"BE22";"A";"2011";36;NA;NA
"V11210";"B";"BE22";"A";"2010";36;NA;NA
"V11210";"B";"BE22";"A";"2009";38;NA;NA
"V11210";"B";"BE22";"A";"2008";NA;"na";"c"
"V11210";"B";"ES13";"A";"2013";21;NA;NA
"V11210";"B";"ES13";"A";"2012";30;NA;NA
"V11210";"B";"ES13";"A";"2011";31;NA;NA
"V11210";"B";"ES13";"A";"2010";31;NA;NA
"V11210";"B";"ES13";"A";"2009";28;NA;NA
"V11210";"B";"ES13";"A";"2008";30;NA;NA
"V11210";"B";"ITH1";"A";"2013";35;NA;NA
"V11210";"B";"ITH1";"A";"2012";34;NA;NA
"V11210";"B";"ITH1";"A";"2011";32;NA;NA
"V11210";"B";"ITH1";"A";"2010";NA;"na";NA
"V11210";"B";"ITH1";"A";"2009";NA;"na";NA
"V11210";"B";"ITH1";"A";"2008";NA;"na";NA
"V11210";"B";"ITH2";"A";"2013";66;NA;NA
"V11210";"B";"ITH2";"A";"2012";76;NA;NA
"V11210";"B";"ITH2";"A";"2011";157;NA;NA
"V11210";"B";"ITH2";"A";"2010";NA;"na";NA
"V11210";"B";"ITH2";"A";"2009";NA;"na";NA
"V11210";"B";"ITH2";"A";"2008";NA;"na";NA
"V11210";"B";"MT";"A";"2013";NA;"na";"c"
"V11210";"B";"MT";"A";"2012";NA;"na";"c"
"V11210";"B";"MT";"A";"2011";NA;"na";"c"
"V11210";"B";"MT";"A";"2010";NA;"na";"c"
"V11210";"B";"MT";"A";"2009";NA;"na";"c"
"V11210";"B";"MT";"A";"2008";NA;"na";"c"
"V11210";"B";"NL12";"A";"2013";19;NA;NA
"V11210";"B";"NL12";"A";"2012";16;NA;NA
"V11210";"B";"NL12";"A";"2011";18;NA;NA
"V11210";"B";"NL12";"A";"2010";17;NA;NA
"V11210";"B";"NL12";"A";"2009";14;NA;NA
"V11210";"B";"NL12";"A";"2008";14;NA;NA
"V11210";"B";"NL13";"A";"2013";60;NA;NA
"V11210";"B";"NL13";"A";"2012";43;NA;NA
"V11210";"B";"NL13";"A";"2011";41;NA;NA
"V11210";"B";"NL13";"A";"2010";38;NA;NA
"V11210";"B";"NL13";"A";"2009";33;NA;NA
"V11210";"B";"NL13";"A";"2008";37;NA;NA
"V11210";"B";"NL34";"A";"2013";21;NA;NA
"V11210";"B";"NL34";"A";"2012";16;NA;NA
"V11210";"B";"NL34";"A";"2011";13;NA;NA
"V11210";"B";"NL34";"A";"2010";14;NA;NA
"V11210";"B";"NL34";"A";"2009";15;NA;NA
"V11210";"B";"NL34";"A";"2008";18;NA;NA
"V11210";"B";"UKC1";"A";"2013";50;NA;NA
"V11210";"B";"UKC1";"A";"2012";45;NA;NA
"V11210";"B";"UKC1";"A";"2011";43;NA;NA
"V11210";"B";"UKC1";"A";"2010";44;NA;NA
"V11210";"B";"UKC1";"A";"2009";52;NA;NA
"V11210";"B";"UKC1";"A";"2008";48;NA;NA
"V11210";"B";"UKE2";"A";"2013";44;NA;NA
"V11210";"B";"UKE2";"A";"2012";48;NA;NA
"V11210";"B";"UKE2";"A";"2011";51;NA;NA
"V11210";"B";"UKE2";"A";"2010";47;NA;NA
"V11210";"B";"UKE2";"A";"2009";55;NA;NA
"V11210";"B";"UKE2";"A";"2008";58;NA;NA
"V11210";"C";"AT32";"A";"2013";2583;NA;NA
"V11210";"C";"AT32";"A";"2012";2514;NA;NA
"V11210";"C";"AT32";"A";"2011";2476;NA;NA
"V11210";"C";"AT32";"A";"2010";2470;NA;NA
"V11210";"C";"AT32";"A";"2009";2455;NA;NA
"V11210";"C";"AT32";"A";"2008";2501;NA;NA
"V11210";"C";"AT33";"A";"2013";3143;NA;NA
"V11210";"C";"AT33";"A";"2012";3090;NA;NA
"V11210";"C";"AT33";"A";"2011";3010;NA;NA
"V11210";"C";"AT33";"A";"2010";2989;NA;NA
"V11210";"C";"AT33";"A";"2009";2987;NA;NA
"V11210";"C";"AT33";"A";"2008";3041;NA;NA
"V11210";"C";"BE22";"A";"2013";3015;NA;NA
"V11210";"C";"BE22";"A";"2012";2978;NA;NA
"V11210";"C";"BE22";"A";"2011";3408;NA;NA
"V11210";"C";"BE22";"A";"2010";3352;NA;NA
"V11210";"C";"BE22";"A";"2009";3317;NA;NA
"V11210";"C";"BE22";"A";"2008";NA;"na";"c"
"V11210";"C";"ES13";"A";"2013";1936;NA;NA
"V11210";"C";"ES13";"A";"2012";1993;NA;NA
"V11210";"C";"ES13";"A";"2011";2074;NA;NA
"V11210";"C";"ES13";"A";"2010";2143;NA;NA
"V11210";"C";"ES13";"A";"2009";2163;NA;NA
"V11210";"C";"ES13";"A";"2008";2219;NA;NA
"V11210";"C";"ITH1";"A";"2013";3078;NA;NA
"V11210";"C";"ITH1";"A";"2012";3099;NA;NA
"V11210";"C";"ITH1";"A";"2011";3524;NA;NA
"V11210";"C";"ITH1";"A";"2010";NA;"na";NA
"V11210";"C";"ITH1";"A";"2009";NA;"na";NA
"V11210";"C";"ITH1";"A";"2008";NA;"na";NA
"V11210";"C";"ITH2";"A";"2013";3249;NA;NA
"V11210";"C";"ITH2";"A";"2012";3321;NA;NA
"V11210";"C";"ITH2";"A";"2011";3905;NA;NA
"V11210";"C";"ITH2";"A";"2010";NA;"na";NA
"V11210";"C";"ITH2";"A";"2009";NA;"na";NA
"V11210";"C";"ITH2";"A";"2008";NA;"na";NA
"V11210";"C";"MT";"A";"2013";NA;"na";"c"
"V11210";"C";"MT";"A";"2012";NA;"na";"c"
"V11210";"C";"MT";"A";"2011";NA;"na";"c"
"V11210";"C";"MT";"A";"2010";NA;"na";"c"
"V11210";"C";"MT";"A";"2009";NA;"na";"c"
"V11210";"C";"MT";"A";"2008";NA;"na";"c"
"V11210";"C";"NL12";"A";"2013";3511;NA;NA
"V11210";"C";"NL12";"A";"2012";3087;NA;NA
"V11210";"C";"NL12";"A";"2011";2970;NA;NA
"V11210";"C";"NL12";"A";"2010";2986;NA;NA
"V11210";"C";"NL12";"A";"2009";2603;NA;NA
"V11210";"C";"NL12";"A";"2008";2441;NA;NA
"V11210";"C";"NL13";"A";"2013";1844;NA;NA
"V11210";"C";"NL13";"A";"2012";1630;NA;NA
"V11210";"C";"NL13";"A";"2011";1565;NA;NA
"V11210";"C";"NL13";"A";"2010";1562;NA;NA
"V11210";"C";"NL13";"A";"2009";1411;NA;NA
"V11210";"C";"NL13";"A";"2008";1340;NA;NA
"V11210";"C";"NL34";"A";"2013";1718;NA;NA
"V11210";"C";"NL34";"A";"2012";1385;NA;NA
"V11210";"C";"NL34";"A";"2011";1329;NA;NA
"V11210";"C";"NL34";"A";"2010";1314;NA;NA
"V11210";"C";"NL34";"A";"2009";1175;NA;NA
"V11210";"C";"NL34";"A";"2008";1120;NA;NA
"V11210";"C";"UKC1";"A";"2013";2035;NA;NA
"V11210";"C";"UKC1";"A";"2012";1963;NA;NA
"V11210";"C";"UKC1";"A";"2011";1903;NA;NA
"V11210";"C";"UKC1";"A";"2010";1872;NA;NA
"V11210";"C";"UKC1";"A";"2009";2008;NA;NA
"V11210";"C";"UKC1";"A";"2008";2104;NA;NA
"V11210";"C";"UKE2";"A";"2013";1932;NA;NA
"V11210";"C";"UKE2";"A";"2012";1917;NA;NA
"V11210";"C";"UKE2";"A";"2011";1869;NA;NA
"V11210";"C";"UKE2";"A";"2010";1874;NA;NA
"V11210";"C";"UKE2";"A";"2009";1894;NA;NA
"V11210";"C";"UKE2";"A";"2008";1919;NA;NA
"V11210";"D";"AT32";"A";"2013";291;NA;NA
"V11210";"D";"AT32";"A";"2012";273;NA;NA
"V11210";"D";"AT32";"A";"2011";257;NA;NA
"V11210";"D";"AT32";"A";"2010";266;NA;NA
"V11210";"D";"AT32";"A";"2009";243;NA;NA
"V11210";"D";"AT32";"A";"2008";202;NA;NA
"V11210";"D";"AT33";"A";"2013";372;NA;NA
"V11210";"D";"AT33";"A";"2012";352;NA;NA
"V11210";"D";"AT33";"A";"2011";339;NA;NA
"V11210";"D";"AT33";"A";"2010";340;NA;NA
"V11210";"D";"AT33";"A";"2009";321;NA;NA
"V11210";"D";"AT33";"A";"2008";308;NA;NA
"V11210";"D";"BE22";"A";"2013";66;NA;NA
"V11210";"D";"BE22";"A";"2012";NA;"na";"c"
"V11210";"D";"BE22";"A";"2011";NA;"na";"c"
"V11210";"D";"BE22";"A";"2010";23;NA;NA
"V11210";"D";"BE22";"A";"2009";13;NA;NA
"V11210";"D";"BE22";"A";"2008";NA;"na";"c"
"V11210";"D";"ES13";"A";"2013";47;NA;NA
"V11210";"D";"ES13";"A";"2012";75;NA;NA
"V11210";"D";"ES13";"A";"2011";100;NA;NA
"V11210";"D";"ES13";"A";"2010";71;NA;NA
"V11210";"D";"ES13";"A";"2009";75;NA;NA
"V11210";"D";"ES13";"A";"2008";49;NA;NA
"V11210";"D";"ITH1";"A";"2013";961;NA;NA
"V11210";"D";"ITH1";"A";"2012";741;NA;NA
"V11210";"D";"ITH1";"A";"2011";664;NA;NA
"V11210";"D";"ITH1";"A";"2010";NA;"na";NA
"V11210";"D";"ITH1";"A";"2009";NA;"na";NA
"V11210";"D";"ITH1";"A";"2008";NA;"na";NA
"V11210";"D";"ITH2";"A";"2013";151;NA;NA
"V11210";"D";"ITH2";"A";"2012";116;NA;NA
"V11210";"D";"ITH2";"A";"2011";109;NA;NA
"V11210";"D";"ITH2";"A";"2010";NA;"na";NA
"V11210";"D";"ITH2";"A";"2009";NA;"na";NA
"V11210";"D";"ITH2";"A";"2008";NA;"na";NA
"V11210";"D";"MT";"A";"2013";NA;"na";"c"
"V11210";"D";"MT";"A";"2012";NA;"na";"c"
"V11210";"D";"MT";"A";"2011";NA;"na";"c"
"V11210";"D";"MT";"A";"2010";NA;"na";"c"
"V11210";"D";"MT";"A";"2009";NA;"na";"c"
"V11210";"D";"MT";"A";"2008";NA;"na";"c"
"V11210";"D";"NL12";"A";"2013";145;NA;NA
"V11210";"D";"NL12";"A";"2012";134;NA;NA
"V11210";"D";"NL12";"A";"2011";133;NA;NA
"V11210";"D";"NL12";"A";"2010";133;NA;NA
"V11210";"D";"NL12";"A";"2009";138;NA;NA
"V11210";"D";"NL12";"A";"2008";130;NA;NA
"V11210";"D";"NL13";"A";"2013";26;NA;NA
"V11210";"D";"NL13";"A";"2012";21;NA;NA
"V11210";"D";"NL13";"A";"2011";21;NA;NA
"V11210";"D";"NL13";"A";"2010";19;NA;NA
"V11210";"D";"NL13";"A";"2009";67;NA;NA
"V11210";"D";"NL13";"A";"2008";16;NA;NA
"V11210";"D";"NL34";"A";"2013";35;NA;NA
"V11210";"D";"NL34";"A";"2012";36;NA;NA
"V11210";"D";"NL34";"A";"2011";32;NA;NA
"V11210";"D";"NL34";"A";"2010";23;NA;NA
"V11210";"D";"NL34";"A";"2009";23;NA;NA
"V11210";"D";"NL34";"A";"2008";17;NA;NA
"V11210";"D";"UKC1";"A";"2013";78;NA;NA
"V11210";"D";"UKC1";"A";"2012";65;NA;NA
"V11210";"D";"UKC1";"A";"2011";63;NA;NA
"V11210";"D";"UKC1";"A";"2010";51;NA;NA
"V11210";"D";"UKC1";"A";"2009";46;NA;NA
"V11210";"D";"UKC1";"A";"2008";36;NA;NA
"V11210";"D";"UKE2";"A";"2013";58;NA;NA
"V11210";"D";"UKE2";"A";"2012";47;NA;NA
"V11210";"D";"UKE2";"A";"2011";37;NA;NA
"V11210";"D";"UKE2";"A";"2010";23;NA;NA
"V11210";"D";"UKE2";"A";"2009";21;NA;NA
"V11210";"D";"UKE2";"A";"2008";19;NA;NA
"V11210";"E";"AT32";"A";"2013";251;NA;NA
"V11210";"E";"AT32";"A";"2012";231;NA;NA
"V11210";"E";"AT32";"A";"2011";222;NA;NA
"V11210";"E";"AT32";"A";"2010";222;NA;NA
"V11210";"E";"AT32";"A";"2009";218;NA;NA
"V11210";"E";"AT32";"A";"2008";221;NA;NA
"V11210";"E";"AT33";"A";"2013";232;NA;NA
"V11210";"E";"AT33";"A";"2012";222;NA;NA
"V11210";"E";"AT33";"A";"2011";221;NA;NA
"V11210";"E";"AT33";"A";"2010";229;NA;NA
"V11210";"E";"AT33";"A";"2009";206;NA;NA
"V11210";"E";"AT33";"A";"2008";198;NA;NA
"V11210";"E";"BE22";"A";"2013";117;NA;NA
"V11210";"E";"BE22";"A";"2012";NA;"na";"c"
"V11210";"E";"BE22";"A";"2011";NA;"na";"c"
"V11210";"E";"BE22";"A";"2010";144;NA;NA
"V11210";"E";"BE22";"A";"2009";121;NA;NA
"V11210";"E";"BE22";"A";"2008";NA;"na";"c"
"V11210";"E";"ES13";"A";"2013";83;NA;NA
"V11210";"E";"ES13";"A";"2012";111;NA;NA
"V11210";"E";"ES13";"A";"2011";111;NA;NA
"V11210";"E";"ES13";"A";"2010";92;NA;NA
"V11210";"E";"ES13";"A";"2009";92;NA;NA
"V11210";"E";"ES13";"A";"2008";91;NA;NA
"V11210";"E";"ITH1";"A";"2013";75;NA;NA
"V11210";"E";"ITH1";"A";"2012";80;NA;NA
"V11210";"E";"ITH1";"A";"2011";119;NA;NA
"V11210";"E";"ITH1";"A";"2010";NA;"na";NA
"V11210";"E";"ITH1";"A";"2009";NA;"na";NA
"V11210";"E";"ITH1";"A";"2008";NA;"na";NA
"V11210";"E";"ITH2";"A";"2013";103;NA;NA
"V11210";"E";"ITH2";"A";"2012";103;NA;NA
"V11210";"E";"ITH2";"A";"2011";187;NA;NA
"V11210";"E";"ITH2";"A";"2010";NA;"na";NA
"V11210";"E";"ITH2";"A";"2009";NA;"na";NA
"V11210";"E";"ITH2";"A";"2008";NA;"na";NA
"V11210";"E";"MT";"A";"2013";153;NA;NA
"V11210";"E";"MT";"A";"2012";164;NA;NA
"V11210";"E";"MT";"A";"2011";160;NA;NA
"V11210";"E";"MT";"A";"2010";161;NA;NA
"V11210";"E";"MT";"A";"2009";164;NA;NA
"V11210";"E";"MT";"A";"2008";151;NA;NA
"V11210";"E";"NL12";"A";"2013";125;NA;NA
"V11210";"E";"NL12";"A";"2012";107;NA;NA
"V11210";"E";"NL12";"A";"2011";108;NA;NA
"V11210";"E";"NL12";"A";"2010";74;NA;NA
"V11210";"E";"NL12";"A";"2009";72;NA;NA
"V11210";"E";"NL12";"A";"2008";65;NA;NA
"V11210";"E";"NL13";"A";"2013";70;NA;NA
"V11210";"E";"NL13";"A";"2012";63;NA;NA
"V11210";"E";"NL13";"A";"2011";61;NA;NA
"V11210";"E";"NL13";"A";"2010";52;NA;NA
"V11210";"E";"NL13";"A";"2009";65;NA;NA
"V11210";"E";"NL13";"A";"2008";52;NA;NA
"V11210";"E";"NL34";"A";"2013";54;NA;NA
"V11210";"E";"NL34";"A";"2012";62;NA;NA
"V11210";"E";"NL34";"A";"2011";62;NA;NA
"V11210";"E";"NL34";"A";"2010";51;NA;NA
"V11210";"E";"NL34";"A";"2009";57;NA;NA
"V11210";"E";"NL34";"A";"2008";52;NA;NA
"V11210";"E";"UKC1";"A";"2013";175;NA;NA
"V11210";"E";"UKC1";"A";"2012";165;NA;NA
"V11210";"E";"UKC1";"A";"2011";161;NA;NA
"V11210";"E";"UKC1";"A";"2010";151;NA;NA
"V11210";"E";"UKC1";"A";"2009";151;NA;NA
"V11210";"E";"UKC1";"A";"2008";148;NA;NA
"V11210";"E";"UKE2";"A";"2013";146;NA;NA
"V11210";"E";"UKE2";"A";"2012";163;NA;NA
"V11210";"E";"UKE2";"A";"2011";152;NA;NA
"V11210";"E";"UKE2";"A";"2010";168;NA;NA
"V11210";"E";"UKE2";"A";"2009";163;NA;NA
"V11210";"E";"UKE2";"A";"2008";158;NA;NA
"V11210";"F";"AT32";"A";"2013";2989;NA;NA
"V11210";"F";"AT32";"A";"2012";2836;NA;NA
"V11210";"F";"AT32";"A";"2011";2755;NA;NA
"V11210";"F";"AT32";"A";"2010";2709;NA;NA
"V11210";"F";"AT32";"A";"2009";2577;NA;NA
"V11210";"F";"AT32";"A";"2008";2578;NA;NA
"V11210";"F";"AT33";"A";"2013";4060;NA;NA
"V11210";"F";"AT33";"A";"2012";3859;NA;NA
"V11210";"F";"AT33";"A";"2011";3694;NA;NA
"V11210";"F";"AT33";"A";"2010";3633;NA;NA
"V11210";"F";"AT33";"A";"2009";3497;NA;NA
"V11210";"F";"AT33";"A";"2008";3502;NA;NA
"V11210";"F";"BE22";"A";"2013";8510;NA;NA
"V11210";"F";"BE22";"A";"2012";8502;NA;NA
"V11210";"F";"BE22";"A";"2011";8609;NA;NA
"V11210";"F";"BE22";"A";"2010";8421;NA;NA
"V11210";"F";"BE22";"A";"2009";7306;NA;NA
"V11210";"F";"BE22";"A";"2008";6725;NA;NA
"V11210";"F";"ES13";"A";"2013";5161;NA;NA
"V11210";"F";"ES13";"A";"2012";5355;NA;NA
"V11210";"F";"ES13";"A";"2011";5834;NA;NA
"V11210";"F";"ES13";"A";"2010";6492;NA;NA
"V11210";"F";"ES13";"A";"2009";6385;NA;"p"
"V11210";"F";"ES13";"A";"2008";23462;NA;NA
"V11210";"F";"ITH1";"A";"2013";5570;NA;NA
"V11210";"F";"ITH1";"A";"2012";5593;NA;NA
"V11210";"F";"ITH1";"A";"2011";7086;NA;NA
